一丁点儿	yī dīng diǎn er
一下子	yī xià zǐ
一不为少	yī bù wéi shǎo
一不做	yī bū zuò
一不小心	yí bù xiǎo xīn
一丘之貉	yī qiū zhī hé
一丘貉	yī qiū mò
一丝不差	yì sī bù chā
一个	yí gè
一个一个地	yí gè yí gè de
一个个地	yí gè gè de
一个个地来	yí gè gè de lái
一个人相好	yí gè rén xiāng hǎo
一个劲	yí gè jìn
一个劲地	yí gè jìn de
一个劲地咳嗽	yí gè jìn de ké sòu
一个劲地抱怨	yí gè jìn de bào yuàn
一个劲地问	yí gè jìn de wèn
一个劲地鼓掌	yí gè jìn de gǔ zhǎng
一个大	yí gè dà
一个子儿	yí gè zi er
一个心眼	yí gè xīn yǎn
一个心眼儿	yí gè xīn yǎn ér
一个接一个地	yí gè jiē yí gè de
一个是一个	yí gè shì yí gè
一个稿子	yí gè gǎo zi
一个老鼠害一锅汤	yí gè lǎo shǔ hài yī guō tāng
一中同长	yī zhōng tóng cháng
一之为甚	yī zhī wéi shèn
一之已甚	yī zhī yǐ shèn
一之谓甚	yī zhī wèi shèn
一乱涂地	yī luàn tú dì
一了	yī liǎo
一了百了	yī liǎo bǎi liǎo
一了百当	yī liǎo bǎi dàng
一五一十	yī wú yī shí
一些子	yī xiē zǐ
一人做事一人当	yì rén zuò shì yì rén dāng
一仆二主	yī pú èr zhǔ
一令纸	yī lǐng zhǐ
一伙儿	yī huǒ er
一会儿	yī huì er
一似	yī sì
一体两面	yì tǐ liǎng miàn
一佛出世	yī fó chū shì
一倍	yí bèi
一倡百和	yī chàng bǎi hè
一六兀剌	yī liù wū là
一出戏	yì chū xì
一刀切	yī dāo qiē
一分为二	yī fēn wéi èr
一分子	yī fèn zǐ
一分子甲烷	yī fēn zǐ jiǎ wán
一分行情一分货	yī fēn háng qíng yī fēn huò
一分钟	yì fēn zhōng
一切万物	yī qiē wàn wù
一切诸佛	yī qiè zhū fó
一刬	yī chàn
一到	yí dào
一到伴	yí dào bàn
一到处	yí dào chù
一刹那	yī chà nà
一刹那顷	yī chà nà qǐng
一劳永逸地	yì láo yǒng yì de
一化	yī huā
一匹	yì pǐ
一匹马	yì pǐ mǎ
一十八层地狱	yī shí bā céng dì yù
一千八百担	yī qiān bā bǎi dàn
一半地	yí bàn de
一半子	yī bàn zǐ
一卷	yī juàn
